Budget,,Amazon,,Quantity,Price,Total Price,,,,,
,,,,,,,,,,,
Bumper Car,,,,,,,,,,,
Mechanical,,,,,,,,,,,
,,,,,,,,,,,
,4 pcs,https://www.amazon.com/gp/product/B0CKYYKPGD/ref=ox_sc_act_title_1?smid=A3C2KNH2OBKL02&th=1,,1,$8.99 ,$8.99 ,,,,,
,9 pcs,https://www.amazon.com/Acxico-Micro-Motor-3V-6V-Gearbox/dp/B09DG3GCGK/ref=sr_1_1?crid=3AZ2N2YC7TRMN&dib=eyJ2IjoiMSJ9.xuQItajVTDr9bmoDpMLDOz2DnEFr1gSmYl5XpNNJ80l69t3AweUGLWd2qJh5NUqEMQjZDMwAmrZogvPh48WdfKwiebMa-pw6uVOg0Aq7RuA7Hr7pAVl4VUBkKmYctiJPTEG3vnx8Wi1oT9_q4EstYtUijhk_JVHyjvpSjITayNEZpYhwTS4IlzLOko-Oj1r3Q5rs7ceZXFQL-sIZHH5f7YQE9-gYc_AFspaFpc0sliOy7QBTK7fpmJdGksJzY3ul5PhRHj67inUBtjn3yqGyPyjiY9Iuhv0tnI0zEO8SRX0.WkUhIq89y7F4FWtP1kxP0jFi99MuUU7jBG85TbU8syE&dib_tag=se&keywords=50%3A1+Micro+Metal+Gearmotor+MP+6V+with+Extended+Motor+Shaft&nsdOptOutParam=true&qid=1783403613&sprefix=50+1+micro+metal+gearmotor+mp+6v+with+extended+motor+shaft%2Caps%2C301&sr=8-1,,3,$9.99 ,$29.97 ,,,,,
,,https://www.amazon.com/VWEICYY-Battery-Holder-housing-Without/dp/B0GJT9V955/ref=sr_1_1_sspa?crid=2C12N7PHU06LL&dib=eyJ2IjoiMSJ9.aWNVgKH8jF-fjeQsJ2eIoOJlI-1EtaUUw9sam9AFXmuiazj7jLRyarS6k-Ri6DpA2rgOd6BOpm_NsBqqteJcmTmeUBeCb5KJXa6cs3SrdfQBzI9lhiBnRz0Mn_62LOiRk9DsV1UfgSMJoIhCEO9XlxbPKQNVMFXwbB2MMndaDWfwr9uSDx0KdRmE7D99NvtzqlUkLP-EMr_AusxSaG3oRWwn03b53AzE1Bdpt_uXj6g.WpF6M3Ddur3dXY4s1lgijhSfY1Px-6uiy1hG9kdsd7A&dib_tag=se&keywords=2aa+battery+holder&qid=1783483546&sprefix=2aa+battery+%2Caps%2C212&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,,1,$4.99 ,$4.99 ,,,,,
,,,,,,$43.95 ,,,,,
Wiring,,,,,,,,,,,
,,,,,,,,,,,
