Budget,,Products,,Quantity,Price,Total Price,Notes,,,,
,,,,,,,,,,,
Bumper Car,,,,,,,,,,,
Mechanical,,,,,,,,,,,
,,,,,,,,,,,
,,"MARRTEUM 4Pcs Ball Bearing Rollers, 360§ Rotation Universal Ball Casters, 200Lbs Self Adhesive Mini Caster Wheels for Trash Can, Storage Box, Small Furniture: Amazon.com: Industrial & Scientific",,1,$8.99 ,$8.99 ,4 Ball Casters,,,,
,,Amazon.com: Acxico 3Pcs Mini Micro N20 Gear Motor DC 3V-6V Slow Speed Full Metal Gearbox DIY Robot Car : Toys & Games,,3,$9.99 ,$29.97 ,9 Motors,,,,
,,"Amazon.com: VWEICYY 4PACK 2 AA Battery Holder housing with Leads,4PCS 2 x 1.5V AA Battery Holder Case,Battery Holder Without Cover : Electronics",,1,$4.99 ,$4.99 ,4 Battery Cases,,,,
,,,,,,$43.95 ,,,,,
Wiring,,,,,,,,,,,
,,,,,,,,,,,
,,Amazon.com: AITRIP 2PCS Type-C USB Nano 3.0 ATmega328P CH340 5V 16MHz Compatible with Arduino Nano CH340 USB Driver Nano V3.0 ATmega328 : Electronics,,1,$39.99 ,$39.99 ,10 PCBs,,,,
,,Amazon.com: HiLetgo 51 AVR ATMEGA8 Programmer USBasp USB ISP 10 Pin USB Programmer 3.3V/5V with Cable : Industrial & Scientific,,1,$7.99 ,$7.99 ,Programmer,,,,
,,Amazon.com: TATTU 4PCS 7.4V 300mAh 2S 45C LiPo Battery Pack with XT30 Plug for Emax Babyhawk Micro FPV Quad Racing Drone : Toys & Games,,1,$29.99 ,$29.99 ,4 Batteries,,,,
,,"Amazon.com: hiBCTR 4 Packs NRF24L01+ Wireless Transceiver Module, 2.4GHz SPI RF Transceiver with Onboard Antenna for Microcontroller and ARM SBC Communication Projects : Electronics",,2,$7.87 ,$15.74 ,8 Transceivers,,,,
,,,,,,$93.71 ,,,,,
Controller,,,,,,,,,,,
Mechanical,,,,,,,,,Mech Cost,,Wire Cost
,,,,,,,,,$70.61 ,,$102.26 
,,Amazon.com: Gebildet Robot Dual-axis XY Joystick Module PS2 Game Joystick Control Lever Sensor Game Controller Sensor Board Module KY-023 for Arduino Raspberry(Pack of 8) : Electronics,,1,$9.99 ,$9.99 ,8 Joysticks,,,,
,,"Amazon.com: 20 PCS Slide Switch Micro Switches 1P2T 2 Position, SPDT Mini Toggle Switches Vertical Panel Mount Knob for Breadboard(SS12D00) : Industrial & Scientific",,1,$4.99 ,$4.99 ,20 Switches,,,,
,,"Amazon.com: Soldering Iron Kit, 80W 110V Fast Heat up in 10s LCD Digital Adjustable Temperature Soldering Gun Thermostatic Soldering Kit for Electronic : Tools & Home Improvement",,1,$11.68 ,$11.68 ,Soldering Iron,,,,
,,,,,,$26.66 ,,,,,
Wiring,,,,,,,,,,,
,,,,,,,,,,,
,,"Amazon.com: DROK DC 5V Power Converter, 5pcs Mini Voltage Buck Regulator DC 4.5-20V 12V 9V Step Down to 5V Reducer Transformer Board 3A 10W Adjustable Fixed Volt Output Step-Down Power Supply Stabilize : Electronics",,1,$8.55 ,$8.55 ,5 Power Converters,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,$172.87 ,,,,,
,,,,,10% Tax,$17.29 ,,,,,
,,,,,,$190.16 ,,,,,
